RecordDate,CountryCurrency,ExchangeRate
31/12/2016,australia-dollar,1.385
31/12/2016,bahamas-dollar,1
31/12/2016,bangladesh-taka,79
31/12/2016,bolivia-boliviano,6.87
31/12/2016,canada-dollar,1.346
31/12/2016,chile-peso,668.8
31/12/2016,china-renminbi,6.942
31/12/2016,cote d'ivoire-cfa franc,625.14
31/12/2016,croatia-kuna,7.05
31/12/2016,ethiopia-birr,22.4
31/12/2016,fiji-dollar,2.073
31/12/2016,iceland-krona,112.87
31/12/2016,india-rupee,67.8
31/12/2016,indonesia-rupiah,13380
31/12/2016,jamaica-dollar,128
31/12/2016,korea-won,1203.21
31/12/2016,nepal-rupee,108.7
31/12/2016,philippines-peso,49.591
31/12/2016,qatar-riyal,3.641
31/12/2016,rwanda-franc,815
31/12/2016,sweden-krona,9.063
31/12/2016,switzerland-franc,1.019
31/12/2016,taiwan-dollar,32.401
31/12/2016,thailand-baht,35.77
31/03/2017,australia-dollar,1.308
31/03/2017,bahamas-dollar,1
31/03/2017,bangladesh-taka,80
31/03/2017,bolivia-boliviano,6.88
31/03/2017,canada-dollar,1.334
31/03/2017,chile-peso,665.2
31/03/2017,china-renminbi,6.885
31/03/2017,cote d'ivoire-cfa franc,613.62
31/03/2017,croatia-kuna,6.75
31/03/2017,ethiopia-birr,22.75
31/03/2017,fiji-dollar,2.044
31/03/2017,iceland-krona,112.86
31/03/2017,india-rupee,64.65
31/03/2017,indonesia-rupiah,13270
31/03/2017,jamaica-dollar,128
31/03/2017,korea-won,1116.33
31/03/2017,nepal-rupee,103.55
31/03/2017,philippines-peso,50.192
31/03/2017,qatar-riyal,3.641
31/03/2017,rwanda-franc,830
31/03/2017,sweden-krona,8.916
31/03/2017,switzerland-franc,1
31/03/2017,taiwan-dollar,30.382
31/03/2017,thailand-baht,34.34
30/06/2017,australia-dollar,1.301
30/06/2017,bahamas-dollar,1
30/06/2017,bangladesh-taka,80
30/06/2017,bolivia-boliviano,6.9
30/06/2017,canada-dollar,1.297
30/06/2017,chile-peso,665.1
30/06/2017,china-renminbi,6.78
30/06/2017,cote d'ivoire-cfa franc,579.99
30/06/2017,croatia-kuna,6.31
30/06/2017,ethiopia-birr,23.1
30/06/2017,fiji-dollar,2.021
30/06/2017,iceland-krona,102.36
30/06/2017,india-rupee,64.5
30/06/2017,indonesia-rupiah,13255
30/06/2017,jamaica-dollar,128
30/06/2017,korea-won,1141.97
30/06/2017,nepal-rupee,102.75
30/06/2017,philippines-peso,50.479
30/06/2017,qatar-riyal,3.72
30/06/2017,rwanda-franc,830
30/06/2017,sweden-krona,8.455
30/06/2017,switzerland-franc,0.958
30/06/2017,taiwan-dollar,30.383
30/06/2017,thailand-baht,33.94
30/09/2017,australia-dollar,1.276
30/09/2017,bahamas-dollar,1
30/09/2017,bangladesh-taka,80
30/09/2017,bolivia-boliviano,6.89
30/09/2017,canada-dollar,1.243
30/09/2017,chile-peso,636.1
30/09/2017,china-renminbi,6.648
30/09/2017,cote d'ivoire-cfa franc,555.38
30/09/2017,croatia-kuna,6.21
30/09/2017,ethiopia-birr,23.39
